"","week_canton","ndvi"
"1","2020-1-201",0.8913
"2","2020-1-205",0.7437
"3","2020-1-203",0.7113
"4","2020-1-215",0.7439
"5","2020-1-214",0.7885
"6","2020-1-206",0.6734
"7","2020-1-209",0.6036
"8","2020-1-207",0.5996
"9","2020-1-208",0.6802
"10","2020-1-216",0.8634
"11","2020-1-210",0.6732
"12","2020-1-204",0.8062
"13","2020-1-202",0.8933
"14","2020-1-212",0.9145
"15","2020-1-213",0.0859
"16","2020-1-211",0.8501
"17","2020-1-306",0.7284
"18","2020-1-301",0.7646
"19","2020-1-308",0.894
"20","2020-1-304",0.7396
"21","2020-1-303",0.5641
"22","2020-1-307",0.7736
"23","2020-1-302",0.7833
"24","2020-1-305",0.7619
"25","2020-1-507",0.7851
"26","2020-1-504",0.6774
"27","2020-1-506",0.6856
"28","2020-1-505",0.531
"29","2020-1-511",0.7123
"30","2020-1-510",0.8287
"31","2020-1-501",0.3859
"32","2020-1-509",0.7971
"33","2020-1-502",0.7136
"34","2020-1-503",0.7111
"35","2020-1-508",0.8601
"36","2020-1-402",0.7734
"37","2020-1-407",0.441
"38","2020-1-408",0.4654
"39","2020-1-401",0.9078
"40","2020-1-406",0.8017
"41","2020-1-409",0.379
"42","2020-1-405",0.8062
"43","2020-1-404",0.8568
"44","2020-1-403",0.6717
"45","2020-1-410",0.8896
"46","2020-1-706",0.8384
"47","2020-1-701",0.8935
"48","2020-1-705",0.5549
"49","2020-1-702",0.8027
"50","2020-1-703",0.8871
"51","2020-1-704",0.8679
"52","2020-1-603",0.8313
"53","2020-1-610",0.8764
"54","2020-1-608",0.8132
"55","2020-1-602",0.679
"56","2020-1-611",0.8231
"57","2020-1-604",0.8058
"58","2020-1-605",0.805
"59","2020-1-609",0.8615
"60","2020-1-601",0.874
"61","2020-1-606",0.8604
"62","2020-1-112",0.7478
"63","2020-1-110",0.5963
"64","2020-1-106",0.7592
"65","2020-1-118",0.4266
"66","2020-1-103",0.781
"67","2020-1-117",0.9214
"68","2020-1-102",0.5089
"69","2020-1-108",0.7515
"70","2020-1-120",0.8174
"71","2020-1-115",0.454
"72","2020-1-107",0.8645
"73","2020-1-114",0.7502
"74","2020-1-119",0.7381
"75","2020-1-104",0.7696
"76","2020-1-101",0.6142
"77","2020-1-109",0.4758
"78","2020-1-105",0.4337
"79","2020-1-113",0.1775
"80","2020-1-116",0.9107
"81","2020-1-111",0.8042
"82","2020-2-201",0.877782332650565
"83","2020-2-205",0.727701781345561
"84","2020-2-203",0.699615880767085
"85","2020-2-215",0.576320736678972
"86","2020-2-214",0.771233165932903
"87","2020-2-206",0.670050083716874
"88","2020-2-209",0.536091970587519
"89","2020-2-207",0.586743639566457
"90","2020-2-208",0.683463557242049
"91","2020-2-216",0.582560450408277
"92","2020-2-210",0.644419901031326
"93","2020-2-204",0.798102397434784
"94","2020-2-202",0.529683393819346
"95","2020-2-212",0.815045948708942
"96","2020-2-213",0.184684547196292
"97","2020-2-211",0.447453979687746
"98","2020-2-306",0.717703921951133
"99","2020-2-301",0.769065225151636
"100","2020-2-308",0.871517827700361
"101","2020-2-304",0.759485946191306
"102","2020-2-303",0.544558300178936
"103","2020-2-307",0.641528410304832
"104","2020-2-302",0.808085740687481
"105","2020-2-305",0.809991036490991
"106","2020-2-507",0.748905403377407
